level,structure_id,llm_assignments,query_type,cost,energy,latency,qoa,input_cost,input_latency,input_energy,output_cost,output_latency,output_energy,average_output_tokens
1,840,"(0, 0, 0, 0, 5)",Art,3.48188e-05,74.2327406,34.7482035,0.41544692032039165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",Geography,3.1711e-05,67.73763249999999,31.411997,0.39887259900569916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",History,3.32642e-05,71.2781959,33.123123199999995,0.4618737041950226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",Music,3.2067200000000004e-05,68.1583351,32.219691,0.45893256589770315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",Other,3.3035e-05,69.9354731,32.855104499999996,0.3809594452381134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",Politics,3.4743e-05,74.0518022,34.7142307,0.49440665245056153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",Science and technology,3.53234e-05,75.5992881,35.059950199999996,0.49013577699661254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",Sports,3.4869999999999996e-05,74.4073863,34.706200100000004,0.41528668701648713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",TV shows,3.2128499999999996e-05,69.15724525,31.911707999999997,0.566101960837841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",Video games,3.4137399999999996e-05,71.4403191,33.6084976,0.3790165193378925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",biology_mmlu,7.726459999999e-05,152.0189445,75.4600618,0.9112037718296051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",business_mmlu,9.306919999999e-05,149.2448903,83.75326759999999,0.7401591628789902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",chemistry_mmlu,0.00014950599999998332,244.92360216666665,138.56604816666666,0.7456084390481313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",computer science_mmlu,7.592111111111111e-05,149.48047422222223,75.70316744444443,0.8514238264825609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",health_mmlu,6.16584e-05,129.8722635,60.99354099999999,0.9114028751850128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",history_mmlu,5.91882e-05,125.8702044,57.87914579999999,0.7349741935729981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",other_mmlu,7.1986e-05,126.7633954,73.7483695,0.9316081881523133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",philosophy_mmlu,4.27948e-05,84.91839189999999,39.915392499999996,0.5434257686138153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",physics_mmlu,7.702999999996667e-05,143.88738800000002,84.980574,0.7023739814758301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 0, 5)",psychology_mmlu,5.421999999999999e-05,103.87884059999999,54.3440876,0.7754844188690185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",Art,3.6588300000000003e-05,72.0987958,33.2193017,0.41355306580662726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",Geography,3.4556e-05,67.4770805,31.072269,0.46449705958366394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",History,3.6548900000000005e-05,71.356039,33.2991674,0.4198658995330334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",Music,3.42126e-05,67.1169725,30.8966413,0.4390976168215275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",Other,3.64638e-05,70.3216034,32.9290416,0.4399919658899307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",Politics,3.79882e-05,73.958855,34.2624517,0.5303378850221634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",Science and technology,3.88339e-05,75.67890630000001,35.182007999999996,0.43884005546569826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",Sports,3.7811399999999995e-05,73.8168561,34.1546047,0.4227779746055603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",TV shows,3.542875e-05,69.29230725,31.84175475,0.5823790729045868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",Video games,3.6863800000000004e-05,70.9409265,33.2228767,0.3397306978702545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",biology_mmlu,8.31189e-05,151.6304395,75.7583525,0.9112037718296051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",business_mmlu,7.956549999999e-05,127.64930919999999,75.8574404,0.8199656009674072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",chemistry_mmlu,0.00014505049999998334,231.5411531666667,139.10509066666665,0.7302474578221639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",computer science_mmlu,7.606355555554445e-05,141.89287000000002,66.7896831111111,0.8339816199408637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,840,"(0, 0, 0, 1, 5)",health_mmlu,6.73246e-05,129.586882,60.889772199999996,0.9379396617412568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
